abbrev,id,level,name,parent,slug
,186,l,Maricopa County,78,maricopa-county
,187,l,Anaheim,52,anaheim
,188,l,Goleta,52,goleta
,189,l,Keller,109,keller
,190,l,Dallas,109,dallas
,191,l,Glendora,52,glendora
,192,l,Kettering,116,kettering
,193,l,Snoqualmie,54,snoqualmie
,194,l,Lake County,34,lake-county
,195,l,Seminole County,34,seminole-county
,196,l,Orange County,34,orange-county-fl
,198,l,Jefferson County,116,jefferson-co
,199,l,Gadsden,159,gadsden
,200,l,Hays County,109,hays-county
,201,l,Mesa County,127,mesa-county
,202,l,Montgomery County,109,montgomery-county
,203,l,Otter Tail County,156,otter-tail-county
,204,l,Polk County,34,polk-county
,205,l,Lane County,158,lane-county
,206,l,Akron,116,akron
,207,l,Buffalo,16,buffalo
,208,l,Dayton,116,dayton
,209,l,Louisville,147,louisville
,210,l,Lancaster,52,lancaster
,211,l,Philadelphia,126,philadelphia
,212,l,Middlesex County,1,middlesex-county
,213,l,Bristol County,1,bristol-county
,214,l,Nantucket,1,nantucket
,215,l,Plymouth County,1,plymouth-county
,216,l,Dukes County,1,dukes
,217,l,Norfolk County,1,norfolk-county
,218,l,Beverly,1,beverly
,219,l,Marlborough,1,marlborough
,220,l,Palmer,1,palmer
,221,l,Taunton,1,taunton
,222,l,Washington Island,146,washington-island
,223,l,Upper Darby,126,upper-darby
,224,l,Petaluma,52,petaluma
,225,l,Fremont,52,fremont
,226,l,State College,126,state-college
NM,227,s,New Mexico,10,new-mexico
ID,228,s,Idaho,10,idaho
NJ,229,s,New Jersey,10,new-jersey
GA,230,s,Georgia,10,georgia
MS,231,s,Mississippi,10,mississippi
ND,232,s,North Dakota,10,north-dakota
LA,233,s,Louisiana,10,louisiana
UT,234,s,Utah,10,utah
AK,235,s,Alaska,10,alaska
DE,236,s,Delaware,10,delaware
,237,l,Canyon County,228,canyon-county
,238,l,Brunswick,230,brunswick
,239,l,North Andover,1,north-andover
,240,l,Pensacola,34,pensacola
,241,l,Escambia County,34,escambia-county
,242,l,Gilbert,78,gilbert
,243,l,Lake Villa,168,lake-villa
,244,l,Clackamas County,158,clackamas-county
,245,l,Hurst,109,hurst
IA,246,s,Iowa,10,iowa
HI,247,s,Hawaii,10,hawaii
OK,248,s,Oklahoma,10,oklahoma
,249,l,Ogden,234,ogden
,250,l,Orange County,109,orange-county-tx
,251,l,Everett,54,everett
,252,l,Abington,1,abington
,253,l,Barnstable,1,barnstable
,254,l,Braintree,1,braintree
,255,l,Burlington,1,burlington
,256,l,Chelmsford,1,chelmsford
,257,l,Quincy,1,quincy
,258,l,Springfield,1,springfield
,259,l,Concord,1,concord
,260,l,Danvers,1,danvers
,261,l,Fall River,1,fall-river
,262,l,Fitchburg,1,fitchburg
,263,l,Foxborough,1,foxborough
,264,l,Gloucester,1,gloucester
,265,l,Haverhill,1,haverhill
,266,l,Hingham,1,hingham
,267,l,Hull,1,hull
,268,l,Leicester,1,leicester
,269,l,Longmeadow,1,longmeadow
,270,l,Lowell,1,lowell
,271,l,Orange County,153,orange-county
,272,l,Malden,1,malden
,273,l,Mansfield,1,mansfield
,274,l,Middleton,1,middleton
,275,l,Natick,1,natick
,276,l,Peabody,1,peabody
,277,l,Pittsfield,1,pittsfield
,278,l,Plymouth,1,plymouth
,279,l,Randolph,1,randolph
,280,l,Reading,1,reading
,281,l,Revere,1,revere
,282,l,Shrewsbury,1,shrewsbury
,283,l,Scarsdale,16,scarsdale
,284,l,Tewksbury,1,tewksbury
,285,l,Kansas City,111,kansas-city
,286,l,Ann Arbor,117,ann-arbor
,287,l,Eastland County,109,eastland-county
,288,l,Erie County,16,erie-county
,289,l,Eden,16,eden
,290,l,Monroe County,16,monroe-county
,291,l,Long Beach,52,long-beach
,292,l,Concord,52,concord
,293,l,Lexington,147,lexington
,294,l,Chandler,78,chandler
,295,l,Berkeley,52,berkeley
,296,l,Novato,52,novato
,297,l,Suffolk County,16,suffolk-county
,298,l,Bethel Park,126,bethel-park
MO,299,s,Missouri,10,missouri
NE,300,s,Nebraska,10,nebraska
NV,301,s,Nevada,10,nevada
SC,302,s,South Carolina,10,south-carolina
SD,303,s,South Dakota,10,south-dakota
WV,304,s,West Virginia,10,west-virginia
WY,305,s,Wyoming,10,wyoming
,306,l,Allegheny County,126,allegheny-county
,307,l,Sacramento,52,sacramento
,308,l,East Lansing,117,east-lansing
,309,l,Lacey,54,lacey
,310,l,Lansing,117,lansing
,311,l,Canby,158,canby
,312,l,Oconee County,302,oconee-county
,313,l,Gwinnett County,230,gwinnett-county
,314,l,Detroit,117,detroit
,315,l,Baltimore,154,baltimore
,316,l,Nassau County,16,nassau-county
,317,l,Las Vegas,301,las-vegas
,318,l,Dover,1,dover
,319,l,Memphis,155,memphis
,320,l,Milwaukee,146,milwaukee
,321,l,Honolulu,247,honolulu
,322,l,Baltimore County,154,baltimore-county
,323,l,Columbus,116,columbus
,324,l,San Antonio,109,san-antonio
,325,l,Atlanta,230,atlanta
,326,l,Jacksonville,34,jacksonville
,327,l,Cleveland,116,cleveland
,328,l,Prince George's County,154,prince-georges-county
,329,l,New Orleans,233,new-orleans
,330,l,Fort Worth,109,fort-worth
,331,l,Kansas City,299,kansas-city
,332,l,Ashland,1,ashland
,333,l,Brockton,1,brockton
