Person,Number of Files Requested,Page Number
"Bond, Candace Department Of State, Ambassador to Trinidad & Tobago (Republic of)",5,4
"Bookless, William A Department Of Energy, Principal Deputy Administrator, National Nuclear Security Administration",6,4
"Bose, Amit Department Of Transportation, Administrator, Federal Railroad Administration",5,4
"Boyle, Allison Merit Systems Protection Board, DAEO",3,4
"Boyle, Mary Consumer Product Safety Commission, Commissioner",8,4
"Boyle, William E Department Of Justice, U.S. Attorney North Carolina Eastern District",1,4
"Brady, Scott Department Of Justice, U.S. Attorney Pennsylvania Western District",3,4
"Branstad, Terry E Department Of State, Ambassador to China (People's Republic of)",4,4
"Bresso, Gineen M Office Of Administration, DAEO",1,4
"Bresso, Gineen M White House Office, Deputy Counsel to the President",4,4
"Brewer, Maria E Department Of State, Ambassador to Lesotho (Kingdom of)",5,4
"Brewer, Maria E Department Of State, Ambassador to Sierra Leone (Republic of)",6,4
"Brewer, Robert S Department Of Justice, U.S. Attorney California Southern District",5,4
"Brink, Bridget Department Of State, Ambassador to Slovak Republic",19,4
"Brink, Bridget Department Of State, Ambassador to Ukraine",11,4
"Brown, Alvin National Transportation Safety Board, Member",2,5
"Brown, Anna Office Of Management And Budget, Certificate of Divestiture",1,5
"Brown, Arthur Department Of State, Ambassador to Ecuador (Republic of)",2,5
"Brown, Brandon Department Of Justice, U.S. Attorney Louisiana Western District",4,5
"Brown, Elizabeth Department Of Education, General Counsel",24,5
"Brown, Joseph D Department Of Justice, U.S. Attorney Texas Eastern District",2,5
"Brown, Natalie E Department Of State, Ambassador to Uganda (Republic of)",3,5
"Brown, Nicholas Department Of Justice, U.S. Attorney Washington Western District",3,5
"Brown, Samuel Department Of Veterans Affairs, Under Secretary For Memorial Affairs",1,5
"Brown, Scott P Department Of State, Ambassador To New Zealand And Samoa",10,5
"Brown, Scott P Department Of State, Ambassador to New Zealand and Samoa",10,5
"Brown, Thomas E Department Of Justice, U.S. Marshal Georgia Northern District",76,5
"Brownback, Samuel D Department Of State, Ambassador At Large For International Religious Freedom",3,6
"Brownback, Samuel D Department Of State, Ambassador at Large for International Religious Freedom",3,6
"Brubacher, Kate E Department Of Justice, U.S. Attorney Kansas",10,6
"Brzezinski, Mark F Department Of State, Ambassador to Poland (Republic of)",7,6
"Buchan, Richard D Department Of State, Ambassador to Morocco (Kingdom of)",1,6
"Buchan, Richard D Department Of State, Ambassador to Spain & Andorra",16,6
"Burley, Michael N White House Office, Deputy Assistant to President & Deputy Director of the Presidential Personnel Office",6,6
"Burns, R. Nicholas Department Of State, Ambassador to China (People's Republic of)",6,6
"Burns, Samira Department Of Health And Human Services, Certificate of Divestiture",1,6
"Bush, Douglas R Department Of The Army, Assistant Secretary for Acquisition, Logistics, & Technology",6,6
"Buzby, Mark H Department Of Transportation, Administrator, Maritime Administration",6,6
"Cabrera, Kevin M Department Of State, Ambassador to Panama (Republic of)",3,6
