Person,Number of Files Requested,Page Number
"Harris, Milancy D Department Of Defense/Office Of The Secretary, Deputy Under Secretary for Intelligence and Security",4,19
"Harris, Seth White House Office, Deputy Assistant to President & Deputy Director National Economic Council",3,19
"Hartley, Jane D Department Of State, Ambassador to United Kingdom of Great Britain & Northern Ireland",10,19
"Hartogensis, Gordan A Pension Benefit Guaranty Corporation, Director",30,19
"Hauptman, Kyle National Credit Union Administration, Member, National Credit Union Administration Board",9,20
"Haustveit, Kyle Department Of Energy, Assistant Secretary for Fossil Energy",4,20
"Havranek, John F Department Of Homeland Security, DAEO",3,20
"Hedlund, Karen Surface Transportation Board, Member",13,20
"Henger, Allison Clements Federal Energy Regulatory Commission, Commissioner",6,20
"Hennessey-Niland, John T Department Of State, Ambassador to Palau (Republic of)",30,20
"Henzel, Christopher P Department Of State, Ambassador to Yemen (Republic of)",6,20
"Herrnstadt, Owen Export-Import Bank Of The United States, Member, Board of Directors",6,20
"Hershman, Lisa W Department Of Defense/Office Of The Secretary, Chief Management Officer",2,20
"Hickey, Douglas Department Of State, Ambassador to Finland (Republic of)",6,20
"Hidalgo, Rosemarie Department Of Justice, Director, Violence Against Women Office",4,20
"Hill, Christopher R Department Of State, Ambassador to Serbia (Republic of)",5,20
"Hill, Ezekiel Securities And Exchange Commission, Certificate of Divestiture",1,20
"Hill, Joshua Federal Energy Regulatory Commission, Certificate of Divestiture",1,20
"Hill, Thomas Department Of The Interior, Certificate of Divestiture",1,20
"Hill, Travis Federal Deposit Insurance Corporation, Member & Chairperson",1,20
"Hill, Travis Federal Deposit Insurance Corporation, Member & Vice Chairman",4,20
"Hinderstein, Corey Department Of Energy, Deputy Administrator for Defense Nuclear Nonproliferation",37,20
"Hoehn-Saric, Alex Consumer Product Safety Commission, Commissioner & Chairman",12,21
"Hoekstra, Peter Department Of State, Ambassador to Canada",1,21
"Hoekstra, Peter Department Of State, Ambassador to Netherlands (Kingdom of)",5,21
"Holgate, Laura S Department Of State, U.S. Representative to Vienna Office of the United Nations & U.S. Representative to International Atomic Energy Agency w/rank of Ambassador",5,21
"Honey, David A Department Of Defense/Office Of The Secretary, Deputy Under Secretary for Research & Engineering",5,21
"Hood, Joey R Department Of State, Ambassador to Tunisia (Republic of)",3,21
"Hood, Robert R Department Of Defense/Office Of The Secretary, Assistant Secretary for Legislative Affairs",2,21
"Hood, Rodney Department Of The Treasury, Certificate of Divestiture",1,21
"Hood, Rodney E National Credit Union Administration, Member, National Credit Union Administration Board",6,21
"Horowitz, Michael E Department Of Justice, Inspector General",14,21
"Hovland, Benjamin W Election Assistance Commission, Commissioner",7,21
"Hovland, Jean C Department Of Health And Human Services, Commissioner, Administration for Native Americans",2,21
"Howery, Kenneth A Department Of State, Ambassador to Denmark",2,21
"Howery, Kenneth A Department Of State, Ambassador to Sweden",18,21
"Hruby, Jill Department Of Energy, Under Secretary for Nuclear Security & Administrator, National Nuclear Security Administration",6,21
"Huckabee, Michael Department Of State, Ambassador to Israel (State of)",4,21
"Hunter, Andrew Department Of The Air Force, Assistant Secretary for Acquisition, Technology, and Logistics",30,21
"Hunter, Caroline C Federal Election Commission, Commissioner",2,21
"Hunter, Danita Department Of Health And Human Services, Certificate of Divestiture",1,21
"Hurley, John Department Of The Treasury, Under Secretary for Terrorism & Financial Crimes",3,21
"Hussain, Rashad Department Of State, Ambassador at Large for International Religious Freedom",10,21
"Hutchison, Kay B Department Of State, Ambassador to the North Atlantic Treaty Organization",21,21
"Ihlenfeld, William J Department Of Justice, U.S. Attorney West Virginia Northern District 2",52,21
"Inman, James Todd National Transportation Safety Board, Member",14,22
"Ison, Dawn Department Of Justice, U.S. Attorney Michigan Eastern District",5,22
"Jackson, Earl W Candidates - F.E.C., Presidential Candidate",1,22
"Jackson, Kateland Department Of Homeland Security, DAEO",1,22
"Jackson, Maria R National Endowment For The Arts, Chairman",6,22
"Jackson, Robert J Securities And Exchange Commission, Commissioner",1,22
"Jacob, Gregory F Office Of The Vice President, Counsel to Vice President",3,22
"Jacobs, Erik Department Of State, Certificate of Divestiture",1,22
"Jacobs, Gretchen Access Board, DAEO",9,22
"Jacobs, Joshua D Department Of Veterans Affairs, Under Secretary for Benefits",6,22
"Jacobs, Keith S Candidates - F.E.C., Presidential Candidate",2,22
"Jacobs, Neil A Department Of Commerce, Assistant Secretary for Environmental Observation & Prediction",2,22
"Jacobs, Neil A Department Of Commerce, Under Secretary for Oceans & Atmosphere & Administrator, NOAA",1,22
"Jacobson, Daniel F Office Of Administration, General Counsel Office of Administration & Special Assistant to President",4,22
"Jacobson, Rachel Department Of The Army, Assistant Secretary for Installations, Energy & Environment",18,22
"Jacobson, Tracey A Department Of State, Ambassador to Iraq (Republic of)",1,22
"Jaddou, Ur Department Of Homeland Security, Director, U.S. Citizenship & Immigration Services",31,22
"Jagadesan, Dev U.S. International Development Finance Corporation, DAEO",8,23
"Jayne, Thomas R Railroad Retirement Board, Member",50,23
"Jayne, Thomas R Railroad Retirement Board, Member 2",1,23
"Jette, Bruce D Department Of The Army, Assistant Secretary for Acquisition, Logistics, & Technology",5,23
"Jinks, Kevin M Privacy And Civil Liberties Oversight Board, DAEO",5,23
"Johnson, Alfred Department Of The Treasury, Certificate of Divestiture",1,23
"Johnson, Carole Department Of Health And Human Services, Certificate of Divestiture",1,23
"Johnson, Clifford D Department Of Justice, U.S. Attorney Indiana Northern District",5,23
"Johnson, David S Department Of The Treasury, Inspector General for Tax Administration",1,23
"Johnson, Jennifer Department Of State, Ambassador to Micronesia (Federated States of)",3,23
"Johnson, Kristin Commodity Futures Trading Commission, Commissioner",7,23
"Johnson, Kristin Department Of The Treasury, Assistant Secretary for Financial Institutions",1,23
"Johnson, Lisa A Department Of State, Ambassador to Lebanon (Republic of)",3,23
"Johnson, Lisa A Department Of State, Ambassador to Namibia (Republic of)",2,23
"Johnson, Lynn A Department Of Health And Human Services, Assistant Secretary for Children and Families",16,23
"Johnson, Mary L National Mediation Board, DAEO",2,23
"Johnson, Melissa R. Department Of Health And Human Services, Certificate of Divestiture",1,23
"Johnson, Perry L Candidates - F.E.C., Presidential Candidate",1,23
"Johnson, Robert ""Woody"" Department Of State, Ambassador to United Kingdom of Great Britain & Northern Ireland",14,23
"Johnson, Ronald D Department Of State, Ambassador to El Salvador (Republic of)",2,23
"Johnson, Ronald D Department Of State, Ambassador to Mexico",1,23
"Johnson, Sylvia Chemical Safety And Hazard Investigation Board, Member",4,23
"Johnson, Thomas M Federal Communications Commission, DAEO",2,23
"Jones, Anthony D Office Of National Drug Control Policy, DAEO",6,24
"Jones, Betony Department Of Energy, Certificate of Divestiture",1,24
"Jones, Brenda Department Of Health And Human Services, Certificate of Divestiture",1,24
"Jones, Brittany Candidates - F.E.C., Presidential Candidate",1,24
"Jones, David President's Intelligence Advisory Board, DAEO",1,24
"Jones, Douglas D Department Of State, Ambassador to Bosnia & Herzegovina",1,24
"Jones, Gina Maria Ortiz Department Of The Air Force, Under Secretary",3,24
"Jones, Kali C Department Of State, Ambassador to Benin (Republic of)",1,24
"Jones, Kristyn Department Of The Air Force, Assistant Secretary for Financial Management (Comptroller)",6,24
"Jones, Meredith A White House Office, Deputy Assistant to the President & Deputy Director of Legislative Affairs & House Liaison",2,24
"Jorge, Maria F Inter-American Development Bank, U.S. Alternate Executive Director",7,24
"Jorge, Maria F Inter-American Foundation, Member, Board of Directors",3,24
"Joseph, David C Department Of Justice, U.S. Attorney Louisiana Western District",4,24
"Jovanovic, Jovan Export-Import Bank Of The United States, President & Chairman",3,24
"Kadlec, Robert P Department Of Defense/Office Of The Secretary, Assistant Secretary for Nuclear, Chemical & Biological Defense Programs",1,24
"Kadlec, Robert P Department Of Health And Human Services, Assistant Secretary for Preparedness & Response",3,24
"Kaplan, Gilbert B Department Of Commerce, Under Secretary for International Trade",1,24
"Kaplan, Jennifer Y White House Office, Deputy Assistant to the President & Senior Advisor to the Director of the Office of Public Engagement",2,24
"Kaplan, Jonathan Department Of State, Ambassador to Singapore (Republic of)",11,24
"Kaplan, Marvin E National Labor Relations Board, Member",1,24
"Kaplan, Marvin E National Labor Relations Board, Member 2",6,24
"Kaplan, Matthew Great Lakes Authority, Federal Cochairperson",1,24
"Kaplan, Melanie Department Of State, Certificate of Divestiture",1,24
"Karlin, Mara E Department Of Defense/Office Of The Secretary, Assistant Secretary for Strategy, Plans, & Capabilities",9,24
"Karpel, Amy A International Trade Commission, Commissioner",17,24
"Kautter, David J Department Of The Treasury, Assistant Secretary For Tax Policy",19,24
"Kautter, David J Department Of The Treasury, Assistant Secretary for Tax Policy",19,24
"Kavanaugh, Christopher Department Of Justice, U.S. Attorney Virginia Western District",22,24
"Kaye, Elliot F Consumer Product Safety Commission, Commissioner",3,24
"Kaye, Janice A Office Of The Us Trade Representative, DAEO",55,24
"Kearns, Jason E International Trade Commission, Commissioner 2",36,25
"Keats, Craig Surface Transportation Board, DAEO",7,25
"Keefe, Lawrence Department Of Justice, U.S. Attorney Florida Northern District",10,25
"Kelley, Karen D Department Of Commerce, Deputy Secretary",3,25
"Kellogg, Joseph K Office Of The Vice President, National Security Adviser to the Vice President",7,25
"Kelly, Joseph P Department Of Justice, U.S. Attorney Nebraska",11,25
"Kelly, Marcia N White House Office, Senior Advisor to The First Lady",2,25
"Kemper, Rufus C Institute Of Museum And Library Services, Director",37,25
"Kenna, Lisa D Department Of State, Ambassador to Peru (Republic of)",17,26
"Kennedy, Adam R White House Office, Deputy Assistant to President & Deputy Director of Communications",1,26
"Kennedy, Caroline B Department Of State, Ambassador to Australia",20,26
"Kennedy, Robert F Candidates - F.E.C., Presidential Candidate",2,26
"Kennedy, Victoria R Department Of State, Ambassador to Austria (Republic of)",25,26
"Kenny, Stephen White House Office, Deputy Counsel to the President",9,26
"Keohane, Ronald Department Of Defense/Office Of The Secretary, Assistant Secretary for Manpower & Reserve Affairs",4,26
"Kerest, Nikolas Department Of Justice, U.S. Attorney Vermont",5,26
"Kernan, Joseph D Department Of Defense/Office Of The Secretary, Under Secretary for Intelligence",8,26
"Kies, Kenneth Department Of The Treasury, Assistant Secretary for Tax Policy",2,26
"Kiko, Colleen D Federal Labor Relations Authority, Member",17,26
"Kiko, Colleen D Federal Labor Relations Authority, Member 2",12,26
"Killin, Jessica White House Office, Deputy Assistant to the President",6,27
"Kim, Sung Y Department Of State, Ambassador to Indonesia (Republic of)",4,27
"Kim, Sung Y Department Of State, Ambassador to Philippines (Republic of)",1,27
"Kim, Todd Department Of Justice, Assistant Attorney General, Environment & Natural Resources Division",5,27
"Kim, Yuri J Department Of State, Ambassador to Albania (Republic of)",9,27
"King, Dena Department Of Justice, U.S. Attorney North Carolina Western District",6,27
"King, Robert L Department Of Education, Assistant Secretary for Postsecondary Education",2,27
"King, Stephen B Department Of State, Ambassador to Czech Republic",3,27
"Kirsch, Thomas Department Of Justice, U.S. Attorney Indiana Northern District",2,27
"Klecheski, Michael S Department Of State, Ambassador to Mongolia",7,27
"Klein, Adam I Privacy And Civil Liberties Oversight Board, Chair",2,27
"Klein, Ethan A Office Of Science And Technology Policy, Associate Director for Technology",1,27
"Klein, Jennifer A National Archives And Records Administration, DAEO",4,27
"Klein, Jennifer White House Office, Certificate of Divestiture",1,27
"Klein, Jennifer White House Office, Deputy Assistant to the President & Co-Chair and Executive Director, Gender Policy Council",8,27
"Klejst, Stephen Chemical Safety And Hazard Investigation Board, DAEO",4,27
"Kneedler, Eric W Department Of State, Ambassador to Rwanda (Republic of)",13,27
"Kocur, Ana M Railroad Retirement Board, DAEO",40,27
"Koh, Daniel White House Office, Deputy Director Intergovernmental Affairs",10,27
"Koh, Daniel White House Office, Special Assistant to President",1,27
"Kolko, Jed Department Of Commerce, Under Secretary for Economic Affairs",5,27
"Korhonen, Rachna Department Of State, Ambassador to Mali (Republic of)",16,27
"Kozma, Matthew Department Of Homeland Security, Under Secretary for Intelligence & Analysis",2,28
"Kramer, Jessica Environmental Protection Agency, Assistant Administrator for Office of Water",1,28
"Kramer, John Department Of Transportation, Chief Financial Officer",3,28
"Kramer, Richard Railroad Retirement Board, Certificate of Divestiture",1,28
"Krass, Caroline D Department Of Defense/Office Of The Secretary, General Counsel",9,28
"Kratsios, Michael J Office Of Science And Technology Policy, Associate Director for Technology",6,28
"Kratsios, Michael J Office Of Science And Technology Policy, Director",1,28
"Kuczynski, Christopher Access Board, DAEO",12,28
"Kushner, Charles Department Of State, Ambassador to France & Monaco",2,28
"Kushner, Jared C. White House Office, Assistant to President & Senior Advisor",4,28
"LaBolt, Benjamin C White House Office, Assistant to the President",6,28
"Land, Guy P Appalachian Regional Commission, DAEO",15,28
"Lauretano, Daniel A Selective Service System, DAEO",5,28
"Lausch, John Department Of Justice, U.S. Attorney Illinois Northern District",15,28
"LeBlanc, Travis Privacy And Civil Liberties Oversight Board, Member",3,28
"LeBlanc, Travis Privacy And Civil Liberties Oversight Board, Member 2",22,28
"Leaf, Barbara A Department Of State, Assistant Secretary for Near Eastern Affairs",5,28
"Lelling, Andrew Department Of Justice, U.S. Attorney Massachusetts",3,28
"Lempert, Yael N Department Of State, Ambassador to Jordan (Hashemite Kingdom of)",5,28
"Lerner, Jay N Federal Deposit Insurance Corporation, Inspector General",10,28
"Leventhal, Alan Department Of State, Ambassador to Denmark",8,29
"Leventis, Henry Department Of Justice, U.S. Attorney Tennessee Middle District",4,29
"Levine, Rachel Department Of Health And Human Services, Assistant Secretary for Health",5,29
"Levine, Randi Department Of State, Ambassador to Portuguese Republic",24,29
"Lewis, Jessica Department Of State, Assistant Secretary for Political- Military Affairs",7,29
"Lewis, John Department Of Commerce, Certificate of Divestiture",1,29
"Lewis, Michelle Department Of Commerce, Certificate of Divestiture",1,29
"Lewis, Reta Jo Export-Import Bank Of The United States, President & Chairman",4,29
"Lichter, Jennifer B White House Office, Deputy Assistant to President for Domestic Policy Council",6,29
"Liddell, Christopher White House Office, Assistant to President & Director of Strategic Initiatives",12,29
"Lightner, Jon Defense Logistics Agency, DAEO",2,29
"Linick, Steve A Department Of State, Inspector General",12,29
"Lipstadt, Deborah Department Of State, Special Envoy to Monitor and Combat Anti-Semitism w/rank of Ambassador",5,29
"Litzenberger, Earle D Department Of State, Ambassador to Azerbaijan (Republic of)",5,29
"Locascio, Laurie Department Of Commerce, Under Secretary for Standards & Technology & Director, National Institute of Standards & Technology",5,29
"Loeffler, Kelly Small Business Administration, Administrator",7,29
"Lofthus, Leon J Department Of Justice, DAEO",13,29
"Logan, Vincent G Farm Credit Administration And Farm Credit System Insurance Corp., Member, Farm Credit Administration Board",16,29
"Lopez-Suarez, Lisa Small Business Administration, DAEO",27,29
"Lowman, Christopher J Department Of Defense/Office Of The Secretary, Assistant Secretary for Sustainment",5,30
"Lowry, John Department Of Labor, Assistant Secretary for Veterans` Employment & Training",3,30
"Lu, Christopher P Department Of State, U.S. Representative to United Nations for U.N. Management and Reform w/rank of Ambassador",5,30
"Lu, Donald Department Of State, Ambassador To Kyrgyz Republic",2,30
"Lu, Donald Department Of State, Assistant Secretary for South Asian Affairs",5,30
"Lucius, Kristine Office Of The Vice President, Deputy Assistant to the President & Domestic Policy Advisor",5,30
"Luger, Andrew M Department Of Justice, U.S. Attorney Minnesota 2",30,30
"MacDonald, Erica H Department Of Justice, U.S. Attorney Minnesota",2,30
"Macdonald, Margaret International Trade Commission, DAEO",6,30
"Maffei, Daniel B Federal Maritime Commission, Commissioner 2",6,30
"Maffei, Daniel B Federal Maritime Commission, Commissioner 3",2,30
"Magnus, Christopher Department Of Homeland Security, Commissioner, U.S. Customs & Border Protection",4,30
"Maher, Joseph Department Of Homeland Security, DAEO",36,30
"Makary, Martin A Department Of Health And Human Services, Commissioner, Food & Drug Administration",5,30
"Mallory, Brenda Council On Environmental Quality, Member",7,30
"Maloney, Carol A Department Of Health And Human Services, Certificate of Divestiture",1,30
"Maloney, Jeanne M Department Of State, Ambassador to Eswatini (Kingdom of)",5,30
"Maloney, Sean P Department Of State, U.S. Representative to Organization for Economic Cooperation & Development w/rank of Ambassador",2,30
"Manasco, Shon J Department Of The Air Force, Assistant Secretary For Manpower & Reserve Affairs",16,30
"Manasco, Shon J Department Of The Air Force, Assistant Secretary for Manpower & Reserve Affairs",16,30
"Manasco, Shon J Department Of The Air Force, Under Secretary",1,30
"Manchin, Gayle Appalachian Regional Commission, Federal Co-Chairman",8,31
"Mancini, Nadine N Occupational Safety And Health Review Commission, DAEO",41,31
"Markell, Jack Department Of State, Ambassador to Italian Republic & Republic of San Marino",16,31
"Markell, Jack Department Of State, U.S. Representative to Organization for Economic Cooperation & Development w/rank of Ambassador",47,31
"Martin, Brian E.J. Consumer Financial Protection Bureau, Certificate of Divestiture",2,32
"Martin, Carmel White House Office, Deputy Assistant to the President & Deputy Director of the DPC for Economic Mobility",9,32
"Martin, Edward Department Of Justice, U.S. Attorney District of Columbia",1,32
"Martin, Heather D Office Of Administration, Chief Financial Officer",1,32
"Martin, Matthew G.T. Department Of Justice, U.S. Attorney North Carolina Middle District",2,32
"Martin, Melissa Presidio Trust, DAEO",3,32
"Martin, Paul K Agency For International Development (Aid), Inspector General",4,32
"Martin, Paul K National Aeronautics And Space Administration, Inspector General",5,32
"Marzano, Matthew Nuclear Regulatory Commission, Commissioner",5,32
"Mason, Cheryl L Department Of Veterans Affairs, Assistant Secretary for Accountability & Whistleblower Protection",1,32
"Mason, Cheryl L Department Of Veterans Affairs, Chairman Board Of Veterans Appeals",4,32
"Mason, Cheryl L Department Of Veterans Affairs, Inspector General",2,32
"Mason, Julie Office Of The Vice President, Deputy Assistant to the President & Chief of Staff to the Second Gentleman",3,32
"Mason, Michael S Securities And Exchange Commission, Certificate of Divestiture",1,32
"Massarone, Charles T Department Of Justice, Commissioner, U.S. Parole Commission",7,32
"Massinga, Ervin J Department Of State, Ambassador to Ethiopia (Federal Democratic Republic of)",4,32
"Matthew, Kathryn K Institute Of Museum And Library Services, Director",2,32
"Matthews, Earl G Department Of Defense/Office Of The Secretary, General Counsel",1,32
"Matthews, Matthew J Department Of State, Ambassador to Brunei Darussalam",1,32
"Mattos, Juan Department Of Justice, U.S. Marshal New Jersey",7,32
"McCaffery, Thomas P Department Of Defense/Office Of The Secretary, Assistant Secretary for Health Affairs",3,32
"McCain, Cindy Department Of State, U.S. Representative to United Nations Agencies for Food and Agriculture (with rank of Ambassador during service)",7,32
"McCance-Katz, Elinore F Department Of Health And Human Services, Assistant Secretary for Mental Health & Substance Use Disorders, SAMHSA",3,32
"McCann, Adrienne Wojciechowski Department Of Agriculture, Assistant Secretary for Congressional Relations",12,32
"McCargo, Alanna Department Of Housing And Urban Development, President, Government National Mortgage Association",5,32
"McCarthy, Ellen E Department Of State, Assistant Secretary for Intelligence & Research",2,32
"McCarthy, John W White House Office, Deputy Assistant to the President & Senior Advisor for Political Engagement",2,32
"McCarthy, Michael A Department Of State, Ambassador to Liberia (Republic of)",17,32
"McCarthy, Regina A White House Office, Assistant to the President & National Climate Advisor",5,32
"McCarthy, Richard J Millennium Challenge Corporation, DAEO",4,32
"McCourt, Jamie Dee Department Of State, Ambassador to France & Monaco",16,32
"McFerran, Bryce Export-Import Bank Of The United States, First Vice President & Vice Chairman",1,32
"McFerran, Lauren M National Labor Relations Board, Member 2",6,32
"McFerran, Lauren M National Labor Relations Board, Member 3",2,32
"McGranahan, John Russell General Services Administration, DAEO",2,32
"McGranahan, John Russell Securities And Exchange Commission, Certificate of Divestiture",2,32
"McIntosh, Brent J Department Of The Treasury, Under Secretary for International Affairs",8,32
"McIntosh, William C Environmental Protection Agency, Assistant Administrator for International & Tribal Affairs",3,32
"McKernan, Jonathan Consumer Financial Protection Bureau, Director",1,32
"McKernan, Jonathan Department Of The Treasury, Under Secretary for Domestic Finance",2,32
"McKernan, Jonathan Federal Deposit Insurance Corporation, Member, Board of Directors",15,32
"McSwain, William M Department Of Justice, U.S. Attorney Pennsylvania Eastern District",16,32
"Meadows, Mark White House Office, Chief of Staff",4,32
"Meehan, Bernadette Department Of State, Ambassador to Chile (Republic of)",6,33
"Melroy, Pamela National Aeronautics And Space Administration, Deputy Administrator",7,33
"Menezes, Mark W Department Of Energy, Under Secretary",5,33
"Merrick, Nicholas A Department Of State, Ambassador to Czech Republic",3,33
"Mersinger, Summer Commodity Futures Trading Commission, Commissioner",2,33
"Mersinger, Summer Commodity Futures Trading Commission, Commissioner 2",5,33
"Merten, Kenneth H Department Of State, Ambassador to Bulgaria (Republic of)",21,33
"Meyer, Alexander White House Office, Director, Intergovernmental Affairs",1,33
"Meyer, Eric Department Of State, Ambassador to Democratic Socialist Republic of Sri Lanka",1,33
"Meyer, Jonathan Department Of Homeland Security, General Counsel",7,33
"Meyer, Joyce Department Of Commerce, Under Secretary for Economic Affairs",1,33
"Michael, Emil G Department Of Defense/Office Of The Secretary, Under Secretary for Research & Engineering",6,33
"Michael, Molly A White House Office, Deputy Assistant to the President",1,33
"Milgram, Anne Department Of Justice, Administrator, Drug Enforcement Administration",9,33
"Milhiser, John C Department Of Justice, U.S. Attorney Illinois Central District",3,33
"Miller, Brian D Department Of Justice, U.S. Attorney Pennsylvania Middle District",1,33
"Miller, Brian D Department Of The Treasury, Special Inspector General for Pandemic Recovery",5,33
"Miller, Craig G Defense Threat Reduction Agency, DAEO",30,33
"Miller, Earl R Department Of State, Ambassador to Bangladesh (People's Republic of)",2,33
"Miller, Earl R Department Of State, Ambassador to Bangladesh (People’s Republic of)",2,33
"Miller, Jason S Office Of Management And Budget, Deputy Director",1,33
"Miller, Jeffrey B Department Of Defense/Office Of The Secretary, Certificate of Divestiture",1,33
"Miller, Kathleen S Department Of Defense/Office Of The Secretary, Principal Deputy Under Secretary for Comptroller",7,33
"Miller, Katie R White House Office, Deputy Assistant to President & Director of Communications to Vice President",1,33
"Miller, Max Federal Trade Commission, Certificate of Divestiture",1,33
"Miller, Max White House Office, Deputy Assistant to President & Director of Presidential Advance",6,33
"Miller, Scott Department Of State, Ambassador to Swiss Confederation & to Principality of Liechtenstein",35,33
"Miller, Stephen White House Office, Deputy Chief of Staff for Policy and Homeland Security Advisor",3,33
"Miller, Stephen White House Office, Senior Advisor",2,33
"Mills, Richard M Department Of State, Ambassador to Nigeria (Federal Republic of)",5,34
"Mills, Richard M Department Of State, Deputy Representative to United Nations & to United Nations General Assembly (UNGA)",7,34
"Milstein, Constance J Department Of State, Ambassador to Malta (Republic of)",27,34
"Missal, Michael J Department Of Veterans Affairs, Inspector General",50,34
"Moffitt, Jennifer Department Of Agriculture, Under Secretary for Marketing & Regulatory Programs",6,34
"Monheim, Thomas A National Geospatial Intelligence Agency, DAEO",1,34
"Monheim, Thomas A Office Of Director Of National Intelligence, Inspector General of the Intelligence Community",13,34
"Morgan, Matthew E Office Of The Vice President, DAEO",1,34
"Morgan, Michael Department Of Commerce, Assistant Secretary for Environmental Observation & Prediction, NOAA",7,34
"Morgan, Richard O Privacy And Civil Liberties Oversight Board, DAEO",3,34
"Morrison, Jonathan Department Of Transportation, Administrator, National Highway Traffic Safety Administration",2,34
"Mosbacher, Georgette Department Of State, Ambassador to Poland (Republic of)",3,34
"Murphy, Elizabeth K. Department Of Health And Human Services, Certificate of Divestiture",1,35
"Murphy, Emily General Services Administration, Administrator",2,35
"Murphy, James National Labor Relations Board, Member",1,35
"Murphy, Kara Department Of The Treasury, Certificate of Divestiture",1,35
"Murphy, Lesley Department Of Justice, U.S. Attorney Nebraska",1,35
"Murphy, Michael J Department Of State, Ambassador to Bosnia & Herzegovina",20,35
"Murphy, W. Patrick Department Of State, Ambassador to Cambodia (Kingdom of)",5,35
"Murray, Adele Securities And Exchange Commission, Certificate of Divestiture",1,35
"Murray, Andrew Department Of Justice, U.S. Attorney North Carolina Western District",3,35
"Murray, Matthew D Department Of State, U.S. Senior Official for Asia-Pacific Economic Cooperation (APEC ) Forum w/rank of Ambassador",3,35
"Murray, Scott Department Of Justice, U.S. Attorney New Hampshire",5,35
"Murthy, Vivek H Department Of Health And Human Services, Surgeon General (2)",8,35
"Mushingi, Tulinabo S Department Of State, Ambassador to Republic of Angola & Democratic Republic of Sao Tome & Principe",8,35
"Mushingi, Tulinabo S Department Of State, Ambassador to Senegal & Guinea-Bissau (Republic of)",2,35
"Mustafa, Herro Department Of State, Ambassador to Bulgaria (Republic of)",4,35
"Nathan, Scott U.S. International Development Finance Corporation, Chief Executive Officer, International Development Finance Corporation",32,35
"Nathanson, Marc Department Of State, Ambassador to Norway",7,35
"Nayak, Rajesh Department Of Labor, Assistant Secretary for Policy",12,35
"Nealy Cox, Erin A Department Of Justice, U.S. Attorney Texas Northern District",3,35
"Neiman, Brent Department Of The Treasury, Assistant Secretary for International Finance",17,35
"Neiman, Brent Department Of The Treasury, Certificate of Divestiture",1,35
"Nelson, Brian Department Of The Treasury, Under Secretary for Terrorism & Financial Crimes",1,35
"Nelson, Brian Department Of The Treasury, Under Secretary for Terrorism & Financial Intelligence",7,35
"Nelson, Clarence W National Aeronautics And Space Administration, Administrator",1,35
"Nelson, Eric G Department Of State, Ambassador to Bosnia & Herzegovina",13,35
"Nesvik, Brian Department Of The Interior, Director, U.S. Fish & Wildlife Service",3,35
"Nevins, Kristan K White House Office, Cabinet Secretary",4,35
"Neyman, Bethany L Office Of Administration, Chief Administrative Officer",5,35
"Nides, Tom Department Of State, Ambassador to Israel (State of)",11,36
"Nitze, Jane E Privacy And Civil Liberties Oversight Board, Member",5,36
"Nordquist, Jennifer D Department Of The Treasury, U.S. Executive Director, International Bank for Reconstruction & Development",18,36
"Nordquist, Jennifer D Department Of The Treasury, U.S. Executive Director, International Bank for Reconstruction & Development (World Bank Group)",1,36
"Norquist, David L Department Of Defense/Office Of The Secretary, Under Secretary for Comptroller",2,36
"Nouri, Ali Department Of Energy, Assistant Secretary for Congressional & Intergovernmental Affairs",3,36
"Nouri, Ali White House Office, Deputy Assistant to the President",4,36
"Noyes, Julieta V Department Of State, Assistant Secretary for Population, Refugees & Migration",29,36
"O'Brien, James Department Of State, Assistant Secretary for European & Eurasian Affairs",2,36
"O'Brien, James Department Of State, Director, Office of Sanctions Coordination w/rank of Ambassador",2,36
"O'Brien, James Department Of State, Head of the Office of Sanctions Coordination w/rank of Ambassador",2,36
"O'Brien, John Department Of Health And Human Services, Certificate of Divestiture",1,36
"O'Brien, Robert C White House Office, Assistant to President & National Security Advisor",2,36
"Oberman, Martin J Surface Transportation Board, Member",30,36
"Ohlweiler, John Agency For International Development (Aid), DAEO",10,36
"Oliver Davis, Valeria Rae Department Of Housing And Urban Development, Inspector General",32,36
"Olshan, Eric Department Of Justice, U.S. Attorney Pennsylvania Western District",4,37
"Ostfield, Marc L Department Of State, Ambassador to Paraguay (Republic of)",7,37
"Otting, Joseph M Department Of The Treasury, Comptroller Of The Currency",4,37
"Otting, Joseph M Department Of The Treasury, Comptroller of the Currency",4,37
"Overbaugh, Justin Department Of Defense/Office Of The Secretary, Deputy Under Secretary for Intelligence and Security",2,37
"Overbey, J. Douglas Department Of Justice, U.S. Attorney Tennessee Eastern District",5,37
"Oz, Mehmet Department Of Health And Human Services, Administrator, Centers for Medicare & Medicaid Services",8,37
"Oz, Seval Department Of Transportation, Assistant Secretary for Research & Technology",2,37
"Pace, Scott N White House Office, Executive Secretary, National Space Council",4,37
"Pak, Byung J Department Of Justice, U.S. Attorney Georgia Northern District",11,37
"Palmer, Donald L Election Assistance Commission, Commissioner",6,37
"Palmer, Virginia E Department Of State, Ambassador to Ghana (Republic of)",12,37
"Palmer, Wayne D Department Of Labor, Assistant Secretary for Mine Safety & Health",1,37
"Pamerleau, Susan L Department Of Justice, U.S. Marshal Texas Western District",34,37
"Pane, Martin J Department Of Justice, U.S. Marshal Pennsylvania Middle District",7,37
"Pankey, Lorielle L Federal Trade Commission, DAEO",13,37
